course_code,course_name,number_of_units,is_offered_in_sem1,is_offered_in_sem1
AC5001,Architectural History of Singapore,4,True,False
AC5002,Conservation Approaches and Philosophies,4,True,False
AC5003,Urban Conservation and Regeneration,4,False,True
AC5004,Architectural Heritage Management,4,False,True
AC5005,Conservation Policy Methodology for Sustainable Development,4,False,True
AC5006,Disaster Risk Management of Cultural Heritage,4,True,False
AC5007,Dissertation,4,True,False
AC5009,Design for Adaptive Reuse,8,True,False
AC5010,Historic Buildings Survey and Recording,4,False,True
AC5011,Conservation of C20th Buildings,4,True,False
AC5013,Practical Building Conservation Skills II,4,True,False
AC5014,Internship,4,True,False
ACC1701,Accounting for Decision Makers,4,True,True
ACC1701X,Accounting for Decision Makers,4,True,True
ACC2706,Managerial Accounting,4,True,True
ACC2707,Corporate Accounting & Reporting I,4,True,True
ACC2708,Corporate Accounting & Reporting II,4,True,True
ACC2709,Accounting Information Systems,4,True,True
ACC3701,Assurance and Attestation,4,True,True
ACC3702,Corporate and Securities Law,4,True,True
ACC3703,Taxation,4,True,True
ACC3704,Advanced Corporate Accounting and Reporting,4,True,True
ACC3705,Valuation,4,True,True
ACC3706,"Governance, Risk Management and Sustainability",4,True,True
ACC3707,Integrated Perspectives in Accounting and Business,4,True,True
ACC4611,Advanced Taxation,4,False,True
ACC4612A,SIA: Internal Auditing,4,False,True
ACC4614,Financial Institution Audit & Compliance,4,False,True
ACC4615,Advanced Assurance and Attestation,4,False,True
ACC4616,Accounting Theory,4,False,True
ACC4619,Advanced Independent Study in Accounting,4,True,False
ACC4629,Advanced Independent Study in Accounting,2,True,False
ACC4711,Advanced Taxation,4,True,True
ACC4712,Forensic Accounting,4,True,False
ACC4713,Financial Institution Audit & Compliance,4,False,True
ACC4714,Advanced and Sustainability Assurance,4,True,True
ACC4751,Advanced Independent Study in Accounting,4,True,False
ACC4752,Advanced Independent Study in Accounting (2 MCs),2,True,False
ACC4761A,Seminars in Accounting: Internal Audit,4,True,True
ACC4761H,Sem. in Acctg: Accounting & Business Analysis for Banks,4,True,True
ACE5401,Approaches to Arts & Cultural Entrepreneurship,4,True,True
ACE5402,Final Year Project,4,False,True
ACE5403,Internship,8,False,False
ACE5404,Heritage: Peoples and Institutions,4,True,False
