course_code,prerequisite_str
AH2202,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) AH2101:D)
AH2203,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) AH2101:D)
AH2204,PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES AH2101:D
AH3201,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) AH2101:D)
AH3204,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) AH2101:D)
AH3206,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) AH2101:D)
AR2101,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (2) AR1101:C, AR1102:C)"
AR2102,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (2) AR1101:C, AR1102:C)"
AR3102,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (2) AR2101:C, AR2102:C)"
AR3102A,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (2) AR2101:C, AR2102:C)"
AR3721,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) AR2723:D
)"
AR4421,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (2) AR3101:D, AR3102:D)"
BMF5331,PROGRAM_TYPES IF_IN GRADUATE DEGREE COURSEWORK THEN COURSES BMF5322
BMF5332,PROGRAM_TYPES IF_IN GRADUATE DEGREE COURSEWORK THEN COURSES BMF5322
BN3301,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	(
		COURSES (1) CM1121:D,CM1501:D
		AND
		COURSES (1) BN2301:D
	)
	OR
	COURSES (1) MLE3104:D
)"
BN3402,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CM1121:D,CM1501:D
	AND
	COURSES (1) LSM1101:D,LSM1401:D
)"
BN4202,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) ME2134:D,CN2122:D,BN2202:D
)"
BN4406,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) BN2403:D
)"
BT2101,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) MA1521:D, MA1102R:D, MA2002:D, MA1505:D AND COURSES (1) BT1101:D, EC2303:D, ST1131:D, DSA1101:D, DSE1101:D)"
BT2102,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) EC2303:D, BT1101:D, ST1131:D, DSA1101:D, DSE1101:D AND COURSES (1) CS1010:D, CS1010X:D, CS1010E:D, CS1010J:D, CS1101S:D, CS1010S:D)"
BT3017,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) BT1101:D AND COURSES (1) CS1010J:D, CS1010E:D, CS1010S:D, CS1010X:D, CS1010:D, CS1101S:D AND COURSES (1) ST2334:D OR (COURSES (2) ST2131:D, ST2132:D) AND COURSES (1) MA2001:D, MA1522:D, MA1311:D)"
BT3102,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) BT2101:D AND (COURSES (1) CS1020:D, CS1020E:D, CS2020:D, CS2030:D, CS2030S:D, CS2103:D, CS2103T:D, CS2113:D, CS2113T:D))"
BT3103,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) BT2102:D, IS1112FC:D, IS1112:D, IS1112X:D)"
BT3104,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) MA1521:D,MA1102R:D,MA2002:D
	AND
	COURSES (1) BT2101:D
)"
BT4010,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) BT2010:D)
BT4011,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) BT4010:D)
BT4012,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) BT3102:D)
BT4013,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) BT3102:D)
BT4014,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) BT2102:D)
BT4015,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) ST2131:D, MA2116:D, ST2334:D, MA2216:D AND COURSES (2) BT2101:D, BT2102:D AND COURSES (1) CS2040S:D, CS2040:D, CS2040C:D)"
BT4016,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) BT2101:D AND COURSES (1) BT2102:D)
BT4211,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) MKT1705X:D, MKT1003X:D AND ((COURSES (1) BT2101:D AND COURSES (1) BT2102:D, IS1112:D) OR COURSES (2) DBA3803:D, IT3010:D))"
BT4212,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ((COURSES (1) CS1010:D, CS1010E:D, CS1101S:D, CS1010J:D, CS1010S:D, CS1010X:D, CS1010FC:D, CS1010A:D AND COURSES (1) BT2101:D) OR COURSES (2) DAO2702:D, DBA3803:D)"
BT4221,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ((COURSES (2) BT2101:D, BT2102:D AND COURSES (1) CS1010X:D, CS1101S:D, CS1010:D, CS1010S:D, CS1010J:D, CS1010E:D) OR (COURSES (3) DAO2702:D, DAO3803:D, IT3010:D))"
BT4222,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ((COURSES (1) CS1010:D, CS1010E:D, CS1101S:D, CS1010J:D, CS1010S:D, CS1010X:D, CS1010A:D AND COURSES (2) BT2101:D, BT2102:D) OR COURSES (3) DAO2702:D, DBA3803:D, IT3010:D)"
BT4240,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) MA1311:D, MA1101R:D, MA2001:D, MA1522:D, MA1508E:D, MA1513:D AND COURSES (1) MA2002:D, MA1521:D, MA1102R:D AND COURSES (1) BT2101:D)"
BT4301,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) BT3103:D)
CE3115,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CE2112:D)
CE3116,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CE2112:D
)"
CE3121,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CE2407:D
)"
CE3132,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CE2134:D
)"
CE3155A,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CE2155:D,CE2155:S
)"
CE3155B,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CE2155:D,CE2155:S
)"
CE3165,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CE3155A:D,CE3155B:D
)"
CE3166,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CE2155:D,CE2155:S
)"
CE4221,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CE3121:D
)"
CE5002A,"PROGRAM_TYPES IF_IN GRADUATE DEGREE COURSEWORK THEN (COURSES (1) CE5509QA, CE5509A) AND (COURSES (1) CE5509QB, CE5509B) AND (COURSES (1) CE5510QA, CE5510A) AND (COURSES (1) CE5510QB, CE5510B)"
CE5002B,"PROGRAM_TYPES IF_IN GRADUATE DEGREE COURSEWORK THEN (COURSES (1) CE5108QA, CE5108A) AND (COURSES (1) CE5108QB, CE5108B) AND (COURSES (1) CE5113QA, CE5113A) AND (COURSES (1) CE5113QB, CE5113B)"
CE5002D,"PROGRAM_TYPES IF_IN GRADUATE DEGREE COURSEWORK THEN COURSES (2) CE4221, CE5203, CE5205, CE5209, CE5210"
CE5108QA,PROGRAM_TYPES IF_IN Undergraduate Degree THEN ( COURSES (1) CE2112:D )
CE5112,"PROGRAM_TYPES IF_IN GRADUATE DEGREE COURSEWORK THEN (COURSES CE5108 OR (COURSES (2) CE5108QA, CE5108QB))"
CE5113QA,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ( COURSES (2) CE2112:D , CE3116:D )"
CE5203,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CE3121:D
)"
CE5205,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CE3121:D
)"
CE5208,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CE3121:D
)"
CE5209,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CE3121:D
)"
CE5310,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (2) CE2134:D,CE3132:D
)"
CE5312,PROGRAM_TYPES IF_IN UNDERGRADUATE DEGREE THEN (COURSES (1) CE3132:D)
CE5315,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CE3132:D, CE3132:S)"
CE5316A,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CE3132:D,CE3132:S
)"
CE5316B,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CE3132:D
)"
CE5316QA,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CE3132:D, CE3132:S)"
CE5316QB,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CE3132:D)
CE5515,PROGRAM_TYPES IF_IN Undergraduate Degree THEN ( COURSES (1) CE3202:D )
CE5604,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CE2155:D
)"
CE6077B,COURSES CE6077A
CFG2002SA,PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES CFG1002:CS
CFG2002TH,PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES CFG1002:CS
CFG2002VN,PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES CFG1002:CS
CG2023,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES (1) MA1512:D, CE2407B:D, MA1506:D"
CG2027,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ( COURSES (1) CG1111A:D , CG1111:D , EG1112:D , EE1112:D , EE2111A:D , BN1102:D , EG1111:D )"
CG2028,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CS1010:D, CS1010E:D, CS1010X:D AND COURSES (1) EE2026:D)"
CG2111A,PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES (1) CS1010%:D
CG2271,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CS2040C:D,CS2040:D,CS1020:D,CS1020E:D,CS2020:D
)"
CG3207,"PROGRAM_TYPES IF_IN Undergraduate Degree
THEN
(
	COURSES (1) CG2028:D,EE2028:D,EE2024:D,EE2024E:D
)"
CG4002,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CG2028:D, EE2024:D AND COURSES (1) CS2113T:D, CS2113:D, CS2103:D, CS2103T:D AND COURSES (1) CG2271:D)"
CLC2201,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ( COURSES (1) CLC1101:D , CLC2101:D )"
CLC2203,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ( COURSES (1) CLC1101:D , CLC2101:D )"
CLC3305,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ( COURSES (1) CLC1101:D , CLC2101:D AND COURSES (1) CLC2201:D AND COURSES (1) CLC2202:D , SC2101:D , SW3101:D )"
CLC3306,PROGRAM_TYPES IF_IN Undergraduate Degree THEN ( COURSES (1) CLC2203:D )
CM2112,PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES CM1102:D
CM2122,PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES CM1102:D
CM2133,PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES CM1102:D
CM2143,PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES CM1102:D
CM2288,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES CM1102:D)
CM2289,PROGRAM_TYPES IF_IN Undergraduate Degree THEN COURSES CM1102:D
CM3111,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES CM2112:D)
CM3121,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES CM2122:D)
CM3131,PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES CM2133:D)
CM3141,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN ( COURSES (2) CM2133:D , CM2143:D )"
CM3191,"PROGRAM_TYPES IF_IN Undergraduate Degree THEN (COURSES (1) CM2112:D, CM2122:D)"
